name,boss,facts,looter,other,passive
Angeling,1.0,Angeling is the final evolution form of a poring. Despite its cute appearance it is pretty strong. It has hated normans ever since it spotted other innocent brethren got damaged by them.,,,0.0
Archangeling / Arc Angeling,1.0,Archangeling is another angelic modification of poring similar to an angeling.,,,0.0
Baby Poring Ringleader,,Baby Poring Ringleader is a type of little poring but more independent. It can summon little porings.,1.0,,
Bomb Poring,,Bomb poring is a suicidal kind that appears only at some events.,,,0.0
Deviling,1.0,Deviling is a poring with its soul manipulated by the devil. Devilings can be found wandering in Juno fields.,,,0.0
Drops,,"Drops is a mutant poring that has adapted to survive under the hot and dry weather of the desert. According to myth, drops were created from Odin's saliva just like porings. However, they are a tiny bit stronger than porings. Orange juice could be used to tame drops. ",1.0,,
Drops Ringleader,,"Drops Ringleader is a rare kind of drops roaming the Sograt Desert. Although it looks lost and alone, it summons fellow drops pretty easily.",1.0,,
Elusive Poporing,,Elusive Poporing lives only in the Sograt Desert. It probably knows how to teleport.,1.0,,
Elusive Poring,,Elusive Poring is a rare monster that sometimes may be spotted in Lighthalzen Fields. It probably knows how to teleport.,1.0,,1.0
Furious Marin,,Furious Marin is a rare kind of marin living only in Lutie Fields. They attack with higher rate than typical marins!,1.0,,
Furious Poporing,,Furious Poporing is a poisonous poring found exclusively in the Labyrinth Forest. They have faster attack than normal poporings.,1.0,,
Furious Poring,,"Another rare kind of poring that wanders in Lighthalzen Fields, along with Elusive porings and Metalings.  Furious porings may attack faster than typical porings.",1.0,,1.0
Ghostring,1.0,Ghostring is a ghost of a dead poring that came back to the realm holding a grudge. Normal weapons cannot do any damage to this monster at all.,,,0.0
Golden Poring,,"None of them are found on any map. Golden porings might be not implemented yet, used in quests, or summoned as slave by other monsters.",1.0,,1.0
Heavy Metaling,,Heavy metaling is an aggressive variety of metalling hiding in Schwartzvald Guild Dungeon.,0.0,,0.0
Immune Poporing,,"None of them are found on any map. Immune Poporing might be not implemented yet, used in quests, or summoned as slave by other monsters.",,,
Jejeling,,"Jejeling is a kind of porings with a cap on. Jejeling is way stronger than some of its poring relatives in the mainland.
Jejeling can be found roaming around the plains of Malaya. It is considered to be a pest there, and players can participate in regular Jejeling hunts. The name Jejeling is loosely based on Jejemons, a pop culture phenomenon in the Philippines.",,,
Little Poring,,Little porings are sleeping inside Novice Poring Eggs. Little porings are popular perts among novices. They are highly affectionate to their owner.,1.0,,
Magmaring,,Magmaring is a poring with magma flowing over its body. They roam around volcanos.,1.0,,
Marin,,"Marin is a mutant poring living in the all-the-time winter area, Lutie. It doesn't care about items dropped on the ground.",,,
Mastering,1.0,"Mastering is a giant mutant poring always surrounded by normal porings. An enormous poring is rarely seen in the Sograt Desert, Mt. Mjolnir, or the Prontera Maze.",,,0.0
Metaling,,"Metaling is a mechanical type of poring. Metaling are much stronger than most of its relatives. Metalings were made from the blood of living machines that were believed to be called ""Gigantes.""",1.0,,
Metaling Ringleader,,Metaling Ringleader is a kind of metaling that rarely appears in Einbroch Fields. It may ask other metalings to help in case of an emergency.,1.0,,
Poporing,,"Poporing is a kind of poring living in the swamp. It is covered with poisonous elastic skins all around the body. Poporings are much stronger than porings. Although drops and porings were created from Odin's saliva, poporings originate from a still unknown substance. Poporings have a stronger collection habit than porings. They could be tamed with bitter herbs that they extremelly like.",1.0,,
Poporing Ringleader,,Poporing Ringleader inhabits exclusively the Labyrinth Forest. They summon poporings to help them out.,1.0,,
Pori Pori / Bring it,1.0,Pori Pori porings are difficult to find as they are event only bosses.,,,0.0
Poring,,"Porings are cute small pink gelatinous monsters. According to myths, porings were created from Odin's saliva. Porings tend to swallow items in sight, but they are especially fond of apples. They might follow people who treat them to unripe apples.",1.0,,1.0
Poring Ringleader,,"Porings Ringleader are rarely seen in Lighthalzen Fields, together with Furious and Elusive porings as well as Metalings. They can spawn few porings around them.",1.0,,1.0
Pouring,1.0,Pouring is a mini-boss living in the Starry Coral Area of Malangdo Island. ,1.0,,
Santa Poring,,Santa poring is a special poring wearing a aanta hat. It usually comes out only during the winter holidays.,,,1.0
Siorava,,"Siorava lives on Malangdo Island among corals, shellfish and crabs.",1.0,,
Solid Metaling,,Solid Metaling is another rare type of metalling found in Einbroch Fields. They have higher health compared with normal metalings.,1.0,,
Swift Magmaring,,Swift Magmaring is another variety of magmaring but moving faster.,1.0,,
Swift Poring,,These porings could be rarely seen in Geffen Fields. They move faster than typical porings.,1.0,,1.0
Thief Poring,,Thief porings is a special type of poring that appear only during Wars of Emperium.,,Magical Damage Immunity,1.0
