index,id,name,viz_group,Size,HP,logHP,AtkDelay,AtkRange,MinAttack,MaxAttack,BaseExpPerHP,JobExpPerHP,DelayAfterHit,PropertyName,PropertyLevel,SightRange,SpellRange,WalkSpeed,Agi,Def,Dex,Earth,Fire,Flee(95%),Ghost,Hit(100%),Holy,Int,Level,Luk,Neutral,Poison,Race,Shadow,Str,Undead,Vit,Water,Wind,img_width,img_height,img_url
49,1568,Angeling,Angeling,Medium,55000,10.915088464396426,1.07,1,120,195,0.0,0.0,Average,Holy,4,12,10.0,Slow,50,0,68,0,0,163,0,90,-100,75,20,200,100,0,Angel,200,1,175,20,0,0,68,47,./images/mobs/Angeling.gif
50,1096,Angeling,Angeling,Medium,55000,10.915088464396426,1.07,1,120,195,0.003,0.003,Average,Holy,4,12,10.0,Slow,50,0,68,0,0,163,0,90,-100,75,20,200,100,0,Angel,200,1,175,20,0,0,68,47,./images/mobs/Angeling.gif
51,1852,Angeling,Angeling,Small,120,4.787491826115375,1.29,1,60,71,0.0,0.0,Short,Holy,3,12,10.0,Slow,17,100,126,25,25,300,25,136,-50,80,99,20,100,25,Angel,175,1,150,80,25,25,68,47,./images/mobs/Angeling.gif
52,1766,Angeling,Angeling,Small,128430,11.763139287884965,1.29,1,60,71,0.0,0.0,Short,Holy,3,12,10.0,Slow,17,40,126,25,25,300,25,136,-50,80,99,20,100,25,Angel,175,1,150,80,25,25,68,47,./images/mobs/Angeling.gif
72,1388,Archangeling / Arc Angeling,Angeling,Medium,79523,11.283801567102733,1.07,1,669,890,0.052000000000000005,0.027000000000000003,Short,Holy,3,12,10.0,Average,65,54,65,25,25,200,25,145,-50,74,60,105,100,25,Angel,175,1,150,80,25,25,68,47,./images/mobs/Archangeling - Arc Angeling.gif
153,1904,Bomb Poring,Poring,Small,1000000,13.815510557974276,1.67,1,120,320,0.0,0.0,Short,Neutral,1,12,10.0,Slow,28,100,33,100,100,136,25,76,100,0,28,50,100,100,Formless,100,1,100,28,100,100,63,48,./images/mobs/Bomb Poring.gif
0,1904,Bomb Poring,Poring,Small,1000000,13.815510557974276,1.67,1,120,320,0.0,0.0,Short,Neutral,1,12,10.0,Slow,28,160,33,100,100,247,70,266,100,0,28,50,100,100,Formless,100,1,100,28,100,100,63,48,./images/mobs/Bomb Poring.gif
287,1582,Deviling,Others,Medium,64500,11.074420502938905,1.07,1,135,270,0.003,0.006,Short,Shadow,4,12,10.0,Slow,50,5,77,25,25,183,0,101,200,75,31,200,100,-25,Demon,-100,30,0,20,25,25,86,57,./images/mobs/Deviling.gif
288,1853,Deviling,Others,Small,120,4.787491826115375,1.29,1,60,71,0.0,0.0,Short,Holy,3,12,10.0,Slow,17,100,126,25,25,300,25,136,-50,80,99,20,100,25,Angel,175,1,150,80,25,25,86,57,./images/mobs/Deviling.gif
289,1767,Deviling,Others,Small,128430,11.763139287884965,1.29,1,60,71,0.0,0.0,Short,Holy,3,12,10.0,Slow,17,40,126,25,25,300,25,136,-50,80,99,20,100,25,Angel,175,1,150,80,25,25,86,57,./images/mobs/Deviling.gif
